epoch,avg_loss
1,0.003937113844536212
2,0.0009399232742765573
3,0.0006781380695666739
4,0.0005482211670543166
5,0.0004669236912478689
6,0.00041077518054624483
7,0.0003699977415880926
8,0.00033692950396418644
9,0.00030963599781045476
10,0.00028816036153138234
11,0.000270952219139158
12,0.0002566243990362978
13,0.0002442381698566281
14,0.00023356494795700406
15,0.00022424734732183344
16,0.00021608189304218411
17,0.0002084611485289446
18,0.0002019496839333335
19,0.00019620547030497454
20,0.00019032257212983928
21,0.00018550587953330343
22,0.0001808945381590369
23,0.00017644473092482023
24,0.00017254382280911004
25,0.00016883771802748382
26,0.00016498914500643477
27,0.0001618693982826377
28,0.00015840098221490945
29,0.0001555780713653616
30,0.00015248508385289539
31,0.00014993119557145005
32,0.00014696543316243324
33,0.00014459238648555702
34,0.00014231723475873642
35,0.00013981408563111392
36,0.00013761409905956476
37,0.00013566376785984234
38,0.00013357611439420886
39,0.00013141274327674549
40,0.00012976935244027202
41,0.0001279840963679521
42,0.0001262029114382307
43,0.00012473078983948595
44,0.000123145292251703
45,0.00012163633833544378
46,0.0001203100069470343
47,0.00011892203230676566
48,0.00011747646797049097
49,0.00011635274079537495
50,0.00011512834559890762
